combined_id,source,product_id,position,sponsored,brand_final,title,rating,reviews,price,extracted_price,old_price,extracted_old_price,delivery,free_shipping,in_stock,seller,climate_pledge_friendly,search_query,page_fetched
Amazon_B0FPR91V6L,Amazon,B0FPR91V6L,1,False,,"NIMO 15.6"" FHD Light-Gaming-Laptop, 8 Cores AMD Ryzen 7 Pro 6850U 32GB LPDDR5 RAM 1TB SSD (Beat i7-1360P Up to 4.7GHz) GPU AMD Radeon 680M IPS Computer with 100W Type-C Backlit Keyboard Fingerprint",4.5,203.0,$599.99,599.99,,0.0,"['FREE delivery Fri, Dec 19', 'Or fastest delivery Thu, Dec 18']",,,,True,gaming laptop,1
Amazon_B0FWRKTF8B,Amazon,B0FWRKTF8B,2,False,,"NIMO 15.6"" IPS FHD-Gaming-Laptop,AMD Ryzen 5 6600H 16GB DDR5 RAM 512GB SSD (Beat R5-7520U, 6 Cores Up to 4.5GHz) AMD Radeon 660M GPU-Computer with 100W Type-C Backlit Keyboard Fingerprint",4.4,76.0,$499.99,499.99,,0.0,"['FREE delivery Tue, Dec 23', 'Or fastest delivery Thu, Dec 18']",,,,False,gaming laptop,1
Amazon_B0G42XBNCR,Amazon,B0G42XBNCR,3,False,Acer,acer Nitro V 15.6” FHD IPS 165Hz Gaming Laptop|Intel Core i5-13420H|NVIDIA GeForce RTX 5050|Webcam|Backlit |Black| 32GB RAM | 512GB SSD |Windows 11 Home |Bundle with HDMI Cable,,,$879.99,879.99,,0.0,"['FREE delivery Fri, Dec 19', 'Or fastest delivery Thu, Dec 18']",,,,False,gaming laptop,1
Amazon_B0FXGBJKT8,Amazon,B0FXGBJKT8,4,False,,"NIMO 15.6"" IPS FHD-Laptop-Computer, Intel Pentium Quad Core N100 4GB RAM 128GB SSD (Beat i3-1115G4, Up to 3.4GHz) Backlit Keyboard Fingerprint Type-C WiFi 6 BT5.2, for Student and Home",4.5,771.0,$229.99,229.99,,0.0,"['FREE delivery Tue, Dec 23', 'Or fastest delivery Thu, Dec 18']",,,,False,gaming laptop,1
Amazon_B0DZZWMB2L,Amazon,B0DZZWMB2L,5,False,ASUS,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",4.4,397.0,"$1,399.00",1399.0,"$1,499.99",1499.99,"['FREE delivery Thu, Dec 18']",,,,False,gaming laptop,1
Amazon_B0DZ5LJXL3,Amazon,B0DZ5LJXL3,6,False,,"NIMO 15.6'' IPS FHD-Laptop, AMD Ryzen 5, 16GB RAM 512GB SSD (Beat i5-1135G7, 4 Cores Up to 3.7GHz) Student Computer with 2 Years Warranty, 65W Type-C, Fingerprint, Backlit Keyboa d, BT5.2, Numpad",4.4,155.0,$369.99,369.99,,0.0,"['FREE delivery Tue, Dec 23', 'Or fastest delivery Thu, Dec 18']",,,,False,gaming laptop,1
Amazon_B0G3PKM2SM,Amazon,B0G3PKM2SM,7,False,HP,"HP 2025 Gaming Laptop | Victus Gaming 15 | Intel 8-Core i5-13420H | NVIDIA GeForce RTX 4050 | 16GB DDR4 | 512GB SSD | 15.6"" 1920x1080 144Hz | Win11 Home - Wi-Fi 6 - BT 5.3 - Backlit KB - Mica Silver",,,$699.00,699.0,,0.0,"['FREE delivery Fri, Dec 19', 'Or fastest delivery Thu, Dec 18']",,,,False,gaming laptop,1
Amazon_B0FYPL263N,Amazon,B0FYPL263N,8,False,,"2025 AMD Gaming Laptop, 16-inch Laptop Computer with AMD Ryzen 7 7735HS Series(8C/16T, Up to 4.75GHz), 16GB RAM DDR5 4800MHz 512GB NVMe SSD Laptop, AMD Radeon 680M, Backlit KB, HDMI. WiFi-6",4.1,115.0,$499.99,499.99,"$1,699.99",1699.99,['FREE delivery Dec 22 - 24'],,,,False,gaming laptop,1
Amazon_B0DW1X5YCQ,Amazon,B0DW1X5YCQ,9,False,ASUS,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” ROG Nebula Display 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5070 Ti GPU, Intel® Core™ Ultra 9 275HX Processor, 32GB DDR5, 1TB SSD, Wi-Fi 7, Win11 Home",4.4,397.0,"$2,383.86",2383.86,,0.0,"['FREE delivery Sun, Dec 21', 'Or fastest delivery Fri, Dec 19']",,,,False,gaming laptop,1
Amazon_B0F6PLQ93N,Amazon,B0F6PLQ93N,11,False,Acer,"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-76NK",4.6,119.0,$949.99,949.99,,0.0,"['FREE delivery Sun, Dec 21', 'Or fastest delivery Fri, Dec 19']",,,,False,gaming laptop,1
